,PV Current,PV Voltage,PV Energy,clusters_pred
626,4.0,0.0,0.0,1
627,11.0,15.6,0.0,1
628,26.6,18.3,0.0,1
629,37.0,47.7,0.0,1
630,44.1,64.2,0.0,1
631,49.0,92.3,0.0,1
632,52.1,54.2,0.0,1
633,54.3,89.5,0.0,1
634,55.8,89.6,0.0,1
635,57.0,159.8,0.0,0
636,57.9,120.3,100.0,0
637,58.5,146.3,100.0,0
638,59.0,175.5,100.0,0
639,59.2,209.3,100.0,0
640,59.4,143.6,200.0,0
641,59.5,260.5,200.0,0
642,59.6,253.7,200.0,0
643,59.8,232.4,300.0,0
644,59.9,249.5,300.0,0
645,60.0,151.0,300.0,0
646,60.6,37.6,0.0,0
647,60.2,33.9,0.0,0
648,60.0,30.2,0.0,0
649,59.8,16.4,0.0,0
650,59.7,21.7,0.0,0
651,59.5,10.7,0.0,0
652,59.4,2.8,0.0,0
653,59.4,6.6,0.0,0
654,59.4,1.2,0.0,0
655,0.0,0.0,0.0,1
656,3.9,0.0,0.0,1
657,3.9,0.0,0.0,1
658,9.8,13.2,0.0,1
659,25.6,25.5,0.0,1
660,36.2,31.3,0.0,1
661,43.3,46.3,0.0,1
662,48.2,33.2,0.0,1
663,51.6,73.5,0.0,1
664,54.0,76.5,0.0,1
665,55.7,73.1,0.0,1
666,56.7,96.4,0.0,0
667,57.6,92.2,0.0,0
668,58.1,133.7,100.0,0
669,58.3,195.3,100.0,0
670,58.4,202.4,100.0,0
671,58.7,259.8,100.0,0
672,58.8,186.4,200.0,0
673,58.9,224.8,200.0,0
674,59.0,108.4,200.0,0
675,59.5,160.7,300.0,0
676,59.8,298.1,300.0,0
677,59.9,332.7,300.0,0
678,59.6,19.0,0.0,0
679,59.6,20.9,0.0,0
680,59.6,16.5,0.0,0
681,59.6,29.5,0.0,0
682,59.6,31.6,0.0,0
683,59.7,13.9,0.0,0
684,59.5,12.2,0.0,0
685,59.3,8.5,0.0,0
686,59.1,4.7,0.0,0
687,59.1,2.0,0.0,0
688,4.0,0.0,0.0,1
689,16.7,5.6,0.0,1
690,30.3,23.5,0.0,1
691,39.4,25.0,0.0,1
692,45.6,39.8,0.0,1
693,49.8,32.5,0.0,1
694,52.8,117.4,0.0,1
695,54.8,32.2,0.0,1
696,56.2,61.7,0.0,1
697,57.1,49.0,0.0,0
698,57.9,198.2,0.0,0
699,58.3,69.5,0.0,0
700,58.4,101.3,100.0,0
701,58.7,36.4,100.0,0
702,58.8,113.4,100.0,0
703,58.9,94.6,100.0,0
704,59.1,190.5,100.0,0
705,59.3,241.5,200.0,0
706,59.5,179.4,200.0,0
707,59.7,152.5,200.0,0
708,59.8,172.6,300.0,0
709,60.0,166.9,300.0,0
710,60.0,127.7,300.0,0
711,60.3,121.7,300.0,0
712,61.0,32.8,0.0,0
713,60.6,23.3,0.0,0
714,60.2,13.4,0.0,0
715,59.9,18.5,0.0,0
716,59.7,16.3,0.0,0
717,59.6,20.8,0.0,0
718,59.4,12.5,0.0,0
719,59.3,20.6,0.0,0
720,59.3,8.7,0.0,0
721,0.0,0.0,0.0,1
722,3.9,0.0,0.0,1
723,14.0,33.8,0.0,1
724,28.4,39.9,0.0,1
725,38.0,32.8,0.0,1
726,44.6,50.1,0.0,1
727,49.2,31.7,0.0,1
728,52.3,74.3,0.0,1
729,54.5,81.5,0.0,1
